                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.84393,                0.62919,                 1.1128,                0.90819,                0.96593,                0.96297,                0.71309,                0.97052,                0.68333,                 1.2956,             0.00056678,             0.00056678,             0.00056678
                    103,                0.75656,                0.57935,                   1.06,                0.91321,                0.89114,                0.95085,                0.71678,                0.94434,                0.68683,                 1.2778,             0.00055578,             0.00055578,             0.00055578
                    104,                0.82323,                0.60784,                 1.0972,                0.90782,                0.93617,                0.96826,                0.75062,                0.90529,                0.58018,                 1.2473,             0.00054478,             0.00054478,             0.00054478
                    105,                0.76815,                0.58232,                 1.0652,                0.94471,                0.88622,                0.96573,                0.72069,                0.96686,                0.54312,                 1.3008,             0.00053377,             0.00053377,             0.00053377
                    106,                0.78509,                0.61417,                 1.0739,                0.86098,                0.94858,                0.94621,                0.71224,                0.92659,                 0.5453,                 1.2672,             0.00052277,             0.00052277,             0.00052277
                    107,                0.76761,                0.59596,                 1.0595,                0.90737,                0.91309,                0.94228,                0.70573,                 0.9217,                0.56301,                 1.2718,             0.00051177,             0.00051177,             0.00051177
                    108,                0.81056,                0.59791,                 1.0667,                 0.9064,                0.85497,                0.93315,                0.70582,                0.96859,                0.62325,                 1.2903,             0.00050077,             0.00050077,             0.00050077
                    109,                0.80323,                0.55873,                 1.0645,                0.86109,                0.95593,                0.95583,                0.73154,                0.91725,                0.60958,                 1.2449,             0.00048976,             0.00048976,             0.00048976
                    110,                0.76604,                0.54129,                 1.0746,                 0.8633,                0.94087,                0.95984,                0.72525,                0.88909,                0.61161,                 1.2273,             0.00047876,             0.00047876,             0.00047876
                    111,                0.75988,                0.55671,                 1.0483,                0.83585,                0.93771,                0.94843,                0.71394,                0.90877,                0.65318,                  1.213,             0.00046776,             0.00046776,             0.00046776
                    112,                0.79933,                0.57471,                 1.0781,                0.89281,                0.94571,                0.95961,                0.72133,                0.89735,                0.62348,                 1.2034,             0.00045676,             0.00045676,             0.00045676
                    113,                0.74263,                 0.5505,                 1.0728,                0.87932,                 0.9957,                0.97172,                0.75063,                  0.869,                0.54253,                 1.2022,             0.00044576,             0.00044576,             0.00044576
                    114,                0.72295,                 0.5502,                 1.0506,                0.91918,                 0.9375,                0.96499,                0.75808,                0.87815,                0.52504,                 1.2345,             0.00043475,             0.00043475,             0.00043475
                    115,                 0.7283,                0.56005,                 1.0261,                0.92423,                0.96652,                0.96479,                0.73559,                0.90483,                0.54584,                 1.2542,             0.00042375,             0.00042375,             0.00042375
                    116,                0.73923,                0.52425,                 1.0465,                0.93189,                0.92285,                0.97461,                0.74212,                0.88656,                0.51566,                 1.2389,             0.00041275,             0.00041275,             0.00041275
                    117,                 0.7568,                0.53272,                  1.046,                0.97468,                0.91816,                0.97367,                0.75046,                0.88475,                0.52552,                 1.2199,             0.00040175,             0.00040175,             0.00040175
                    118,                0.72038,                0.52636,                 1.0424,                0.97474,                 0.9175,                0.96337,                0.72769,                0.89914,                0.52179,                 1.2371,             0.00039074,             0.00039074,             0.00039074
                    119,                0.65312,                0.48645,                 1.0181,                0.98578,                 0.9152,                 0.9816,                0.74816,                0.90666,                0.50871,                  1.243,             0.00037974,             0.00037974,             0.00037974
                    120,                0.73078,                0.51495,                 1.0555,                0.98072,                0.97837,                0.98803,                0.76384,                0.89336,                0.51772,                 1.2323,             0.00036874,             0.00036874,             0.00036874
                    121,                0.66746,                0.48748,                  1.024,                0.97651,                 0.9544,                0.98774,                0.76974,                0.85891,                  0.502,                  1.218,             0.00035774,             0.00035774,             0.00035774
                    122,                0.66946,                0.52425,                 1.0443,                0.96487,                0.92468,                0.98464,                0.75938,                0.87265,                 0.5131,                 1.2252,             0.00034674,             0.00034674,             0.00034674
                    123,                0.68619,                0.51434,                 1.0535,                0.95414,                0.92468,                0.98202,                0.74559,                0.87967,                0.51653,                   1.23,             0.00033573,             0.00033573,             0.00033573
                    124,                0.68827,                0.50651,                 1.0349,                0.89777,                0.95593,                0.96587,                0.74025,                0.86204,                0.54099,                 1.2234,             0.00032473,             0.00032473,             0.00032473
                    125,                0.70291,                0.52082,                 1.0526,                0.86633,                 0.9824,                0.96047,                0.75601,                 0.8421,                 0.5359,                 1.2188,             0.00031373,             0.00031373,             0.00031373
