                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.77048,                0.63165,                 1.0757,                0.92124,                0.78571,                0.88484,                0.63458,                0.89357,                0.68659,                 1.2302,             0.00088584,             0.00088584,             0.00088584
                     74,                  0.765,                0.61938,                 1.0697,                0.93085,                0.79323,                0.89477,                0.67803,                0.85778,                0.64438,                 1.1705,             0.00087484,             0.00087484,             0.00087484
                     75,                0.73205,                 0.6143,                 1.0635,                0.90697,                0.82583,                0.90362,                0.68741,                0.87516,                0.63876,                 1.1645,             0.00086384,             0.00086384,             0.00086384
                     76,                0.70741,                 0.5632,                 1.0514,                 0.9261,                0.83545,                0.91794,                0.68158,                0.91334,                0.63851,                 1.2303,             0.00085284,             0.00085284,             0.00085284
                     77,                0.68215,                0.53812,                 1.0311,                0.87479,                0.87857,                 0.9227,                0.67161,                0.88328,                0.64458,                 1.1937,             0.00084184,             0.00084184,             0.00084184
                     78,                 0.7363,                0.57526,                 1.0457,                0.89006,                0.91667,                0.92895,                0.70753,                0.82562,                0.57988,                 1.1414,             0.00083083,             0.00083083,             0.00083083
                     79,                0.73214,                0.54918,                 1.0674,                0.88256,                0.93095,                  0.927,                0.69129,                0.89508,                0.62759,                 1.1905,             0.00081983,             0.00081983,             0.00081983
                     80,                0.75353,                 0.5931,                 1.0599,                0.89043,                0.88935,                0.91297,                0.68422,                0.90815,                0.63816,                 1.1929,             0.00080883,             0.00080883,             0.00080883
                     81,                0.71681,                0.55657,                 1.0542,                 0.9069,                    0.9,                0.90592,                0.66753,                 0.8941,                 0.6175,                  1.171,             0.00079783,             0.00079783,             0.00079783
                     82,                0.71725,                0.57691,                 1.0612,                0.91564,                 0.9166,                0.92183,                0.73113,                0.82623,                0.60821,                 1.1172,             0.00078682,             0.00078682,             0.00078682
                     83,                0.69318,                0.54291,                 1.0305,                0.89893,                0.91586,                0.91807,                0.70707,                0.86887,                0.59704,                 1.1513,             0.00077582,             0.00077582,             0.00077582
                     84,                0.71667,                0.57308,                 1.0578,                0.95034,                0.86718,                   0.93,                0.69045,                0.85022,                0.56954,                 1.1323,             0.00076482,             0.00076482,             0.00076482
                     85,                0.68653,                0.53648,                  1.035,                0.91296,                 0.8897,                0.92994,                0.69177,                0.87513,                0.56877,                  1.188,             0.00075382,             0.00075382,             0.00075382
                     86,                0.67497,                0.54485,                 1.0215,                0.94367,                0.85098,                0.92336,                0.68216,                0.87339,                0.61433,                 1.1854,             0.00074282,             0.00074282,             0.00074282
                     87,                0.67931,                 0.5295,                 1.0316,                0.89742,                0.87857,                0.91111,                0.68641,                0.84604,                0.61311,                  1.146,             0.00073181,             0.00073181,             0.00073181
                     88,                0.72677,                0.55992,                 1.0501,                0.85451,                 0.8568,                0.89557,                0.66915,                0.84512,                 0.6383,                 1.1342,             0.00072081,             0.00072081,             0.00072081
                     89,                0.70056,                0.55922,                 1.0454,                0.90192,                0.87624,                 0.8956,                0.66645,                0.85469,                0.61602,                 1.1482,             0.00070981,             0.00070981,             0.00070981
                     90,                 0.6912,                0.53449,                 1.0374,                0.90512,                0.90523,                0.94216,                0.69721,                 0.8281,                0.56524,                 1.1133,             0.00069881,             0.00069881,             0.00069881
                     91,                0.71392,                0.54843,                 1.0461,                0.89176,                 0.9065,                0.94773,                0.69974,                0.82582,                0.54483,                 1.1331,              0.0006878,              0.0006878,              0.0006878
                     92,                 0.6893,                0.54151,                 1.0253,                0.91741,                0.89524,                0.94661,                  0.724,                0.81173,                 0.5591,                 1.1129,              0.0006768,              0.0006768,              0.0006768
                     93,                0.64541,                0.52287,                 1.0162,                0.94534,                0.82124,                0.92237,                 0.6834,                0.83421,                 0.5522,                 1.1417,              0.0006658,              0.0006658,              0.0006658
                     94,                0.68101,                0.52081,                 1.0211,                0.88828,                0.80488,                 0.8922,                0.68048,                0.86173,                0.60571,                 1.1476,              0.0006548,              0.0006548,              0.0006548
